player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0039391,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,43,155.0,0,1.0,0.0,7.0,-8.408020302189103,0,5,9,62.0,1,0.0,0.0,48.0,37.0,2.0,1.7616465183673427,0,8.25,0.26977591467997475,0.1571367359209936,0.5146595871646577,0.0,27.700000000000003,32.7,9,0.030927835051546393,0.01947261663286004,0.03741152679474216,0.06196984588360762,0.027264731750219876,0.07692307692307693,0.0196078431372549,0.02608695652173913,0.0520939043366484,0.03719640078479129,0.21305841924398625,0.04222296826175658
00-0039392,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,-5.0,0,0.0,0.0,0.0,-1.6936123308259994,0,1,3,8.0,0,0.0,0.0,78.0,2.0,1.0,-1.8484907689853571,0,0.21621621621621623,0.10038986354775828,0.24936580416032472,0.3251408582338647,0.0,0.30000000000000004,1.3,2,0.04225352112676056,0.11572700296735905,0.0125,0.15596188406402808,0.015810276679841896,0.0,0.04,0.03571428571428571,0.007905138339920948,0.012648221343873518,0.11267605633802817,0.007587253414264037
00-0039393,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,13,32.0,0,0.0,0.0,2.0,-7.104606042150408,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.2,3.2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023612750885478158
00-0039394,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,2,14.0,0,0.0,0.0,36.0,11.0,1.0,0.9507967630634084,0,4.666666666666667,0.06226053639846743,0.15128089015396556,0.19928742770547703,0.0,1.4000000000000001,2.4000000000000004,2,0.029850746268656716,0.07302231237322515,0.05314009661835749,0.10319396930156519,0.03160270880361174,0.0,0.043478260869565216,0.041666666666666664,0.01580135440180587,0.025282167042889395,0.208955223880597,0.01770956316410862
00-0039398,2024,REG,22,29,241.0,1,0.0,0.0,0.0,0,0,280.0,72.0,14.0,11.790716131760057,0,0.8607142857142858,0.2361256384659101,10,16.0,1,1.0,1.0,4.0,-3.962806242663646,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19.240000000000002,19.240000000000002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24845041322314054
00-0039407,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0,1.0,1.0,0.0,-4.668176158738788,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02685284640171858
00-0039410,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,10,14,102.0,0,1.0,1.0,115.0,34.0,5.0,-2.804956874344498,0,8.130698005698006,0.37321676944837046,0.42749734076807666,0.8590732927102093,0.0,8.200000000000001,18.200000000000003,7,0.05017921146953405,0.05909558067831449,0.03876852907639681,0.12254528174695267,0.060106069534472596,0.0,0.0625,0.05747126436781609,0.030053034767236298,0.04808485562757808,0.3655913978494624,0.033680002960879384
00-0039420,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,3,20.0,0,0.0,0.0,23.0,5.0,1.0,-0.005124380171764642,0,1.1176470588235294,0.08838233838233839,0.0889021839726065,0.1948050363543321,0.0,2.0,4.0,3,0.02727272727272727,0.027577937649880094,0.01366120218579235,0.06297144102899499,0.027434842249657063,0.0,0.025,0.022727272727272728,0.013717421124828532,0.021947873799725653,0.18181818181818182,0.015794045644791914
00-0039424,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,41,55,475.0,3,0.0,0.0,461.0,127.0,26.0,35.08660535645322,0,13.588144148059618,1.6373615219353175,2.07214558159535,3.906544190019721,0.0,65.5,106.5,13,0.12304250559284116,0.1458860759493671,0.07541567695961995,0.3012726191487554,0.15422077922077923,0.1111111111111111,0.18055555555555555,0.1695906432748538,0.13266594516594515,0.14559884559884562,1.0626398210290828,0.09059974478945129
00-0039451,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,3,6.0,0,0.0,0.0,15.0,7.0,0.0,-2.3470915579237044,0,0.4,0.16666666666666666,0.22388059701492538,0.40671641791044777,0.0,0.6000000000000001,2.6,1,0.15789473684210525,0.22058823529411764,0.09210526315789473,0.413312693498452,0.06382978723404255,0.0,0.0,0.0,0.031914893617021274,0.05106382978723404,0.3157894736842105,0.02535101404056162
00-0039458,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,-2.0,0.0,0.0,-0.801100357901305,0,0.0,0.030303030303030304,-0.007936507936507936,0.0398989898989899,0.0,0.0,0.0,1,0.029411764705882353,-0.008097165991902834,0.0,0.03763991426530126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039491,2024,REG,1,1,19.0,0,0.0,0.0,0.0,0,0,16.0,3.0,1.0,1.3107093420112506,0,1.1875,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,32,46,478.0,2,0.0,0.0,516.0,171.0,23.0,29.074603088482547,0,11.272320767261071,1.624009949598185,2.332568736685908,4.068813040077413,0.0,60.56,92.56,11,0.13609467455621302,0.19203572757722367,0.1981460023174971,0.35777059389609844,0.22816229116945108,0.125,0.21904761904761905,0.2066115702479339,0.17658114558472554,0.20752983293556088,1.4142011834319526,0.10900953951242492
00-0039521,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0,0.0,0.0,39.0,0.0,0.0,-1.6448100185267425,0,0.0,0.0625,0.19009248878923768,0.22681474215246633,0.0,0.0,0.0,2,0.029850746268656716,0.09397590361445783,0.0,0.11995684229455134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039530,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,9,14,88.0,0,0.0,0.0,82.0,53.0,6.0,1.3320561994914897,0,6.075757575757576,0.34242190797068844,0.2986065802013567,0.7226574680969824,0.0,8.8,17.8,6,0.058577405857740586,0.0478134110787172,0.06279620853080568,0.12611683764958465,0.05137186223000584,0.0,0.075,0.06593406593406594,0.02568593111500292,0.041097489784004675,0.3682008368200837,0.03152004533220003
